source,target,status
https://sarahbarns.me/writing/category/smart+cities,https://sarahbarns.com/writing,301
https://sarahbarns.me/writing/category/talks,https://sarahbarns.com/writing,301
https://sarahbarns.me/writing/pivot-city,https://sarahbarns.com/writing,301
https://sarahbarns.me/writing/platform-urbanism,https://sarahbarns.com/writing,301
https://sarahbarns.me/writing/tag/biophilia,https://sarahbarns.com/writing,301
https://sarahbarns.me/writing/tag/cities,https://sarahbarns.com/writing,301
https://sarahbarns.me/writing/tag/coronavirus,https://sarahbarns.com/writing,301
https://sarahbarns.me/writing/tag/digital+placemaking,https://sarahbarns.com/writing,301
https://sarahbarns.me/writing/tag/healthy+cities,https://sarahbarns.com/writing,301
https://sarahbarns.me/writing/tag/listening,https://sarahbarns.com/writing,301
https://sarahbarns.me/writing/tag/new,https://sarahbarns.com/writing,301
https://sarahbarns.me/writing/tag/open+data,https://sarahbarns.com/writing,301
https://sarahbarns.me/writing/tag/parramatta,https://sarahbarns.com/writing,301
https://sarahbarns.me/writing/tag/place-making,https://sarahbarns.com/writing,301
https://sarahbarns.me/writing/tag/placemaking,https://sarahbarns.com/writing,301
https://sarahbarns.me/writing/tag/platform+urbanism,https://sarahbarns.com/writing,301
https://sarahbarns.me/writing/tag/practice,https://sarahbarns.com/writing,301
https://sarahbarns.me/writing/tag/public+space+media,https://sarahbarns.com/writing,301
https://sarahbarns.me/writing/tag/shared+spaces,https://sarahbarns.com/writing,301
https://sarahbarns.me/writing/tag/smart+cities,https://sarahbarns.com/writing,301
https://sarahbarns.me/writing/tag/sound+history,https://sarahbarns.com/writing,301
https://sarahbarns.me/writing/tag/sustainability,https://sarahbarns.com/writing,301
https://sarahbarns.me/writing/tag/uber,https://sarahbarns.com/writing,301
https://sarahbarns.me/writing/tag/urban+futures,https://sarahbarns.com/writing,301
